participant,itemA,itemB,recognizedA,recognizedB,aLarger,choiceA
1,8,16,1,0,1,1
1,37,19,1,1,0,0
1,35,30,1,0,0,1
1,34,44,1,1,1,1
1,22,27,1,1,1,0
1,10,5,1,1,0,0
1,15,23,0,0,1,0
1,49,50,0,0,1,1
1,9,21,1,1,1,1
1,2,20,1,1,1,1
1,36,51,1,1,1,1
1,32,39,1,1,1,0
1,18,4,0,1,0,0
1,41,11,0,1,0,0
1,17,40,1,1,1,1
1,25,42,1,0,1,1
1,1,47,1,0,1,1
1,3,52,0,1,1,1
1,48,24,0,0,0,0
1,13,12,0,1,0,0
1,29,53,1,1,1,0
1,7,28,1,1,1,1
1,6,43,1,1,1,1
1,45,33,0,1,0,0
1,38,26,0,1,0,0
1,46,31,0,1,0,0
2,8,16,0,0,1,1
2,37,19,0,0,0,0
2,35,30,0,0,0,1
2,34,44,0,0,1,0
2,22,27,0,0,1,1
2,10,5,1,1,0,1
2,15,23,1,1,1,1
2,49,50,0,0,1,1
2,9,21,0,0,1,1
2,2,20,1,0,1,1
2,36,51,0,0,1,1
2,32,39,0,0,1,1
2,18,4,0,0,0,0
2,41,11,0,1,0,0
2,17,40,0,0,1,1
2,25,42,1,0,1,1
2,1,47,1,0,1,1
2,3,52,1,0,1,1
2,48,24,0,0,0,0
2,13,12,0,1,0,0
2,29,53,0,0,1,0
2,7,28,0,0,1,1
2,6,43,0,0,1,1
2,45,33,0,0,0,1
2,38,26,0,1,0,0
2,46,31,0,0,0,0
3,8,16,1,0,1,1
3,37,19,0,1,0,0
3,35,30,0,1,0,0
3,34,44,1,0,1,0
3,22,27,1,0,1,0
3,10,5,1,1,0,0
3,15,23,1,1,1,0
3,49,50,1,0,1,1
3,9,21,1,1,1,1
3,2,20,1,1,1,0
3,36,51,1,0,1,0
3,32,39,1,0,1,1
3,18,4,0,1,0,0
3,41,11,0,1,0,0
3,17,40,1,0,1,1
3,25,42,1,0,1,1
3,1,47,1,0,1,1
3,3,52,1,0,1,1
3,48,24,0,1,0,0
3,13,12,0,1,0,0
3,29,53,0,1,1,0
3,7,28,1,1,1,1
3,6,43,1,1,1,1
3,45,33,0,1,0,0
3,38,26,1,1,0,1
3,46,31,1,0,0,1
4,8,16,1,0,1,1
4,37,19,0,1,0,0
4,35,30,0,0,0,1
4,34,44,1,1,1,1
4,22,27,0,0,1,1
4,10,5,1,1,0,0
4,15,23,1,1,1,0
4,49,50,0,0,1,0
4,9,21,1,1,1,1
4,2,20,1,1,1,1
4,36,51,1,0,1,1
4,32,39,1,0,1,1
4,18,4,1,0,0,0
4,41,11,1,0,0,0
4,17,40,1,0,1,1
4,25,42,1,0,1,1
4,1,47,0,0,1,1
4,3,52,1,0,1,1
4,48,24,0,1,0,0
4,13,12,0,1,0,0
4,29,53,1,0,1,0
4,7,28,1,1,1,1
4,6,43,1,1,1,1
4,45,33,0,1,0,0
4,38,26,1,1,0,0
4,46,31,1,1,0,0
5,8,16,0,0,1,1
5,37,19,0,0,0,0
5,35,30,0,0,0,0
5,34,44,0,0,1,1
5,22,27,0,1,1,0
5,10,5,0,1,0,0
5,15,23,1,0,1,1
5,49,50,0,0,1,0
5,9,21,0,0,1,1
5,2,20,1,0,1,1
5,36,51,0,0,1,1
5,32,39,0,0,1,1
5,18,4,0,1,0,0
5,41,11,0,0,0,0
5,17,40,0,0,1,1
5,25,42,0,0,1,1
5,1,47,0,0,1,1
5,3,52,1,0,1,1
5,48,24,0,0,0,1
5,13,12,0,1,0,0
5,29,53,0,0,1,0
