item,name,criterion
1,Kansas,1
2,Austin Peay State University,0
3,Connecticut,1
4,Colorado,0
5,Maryland College Park,1
6,South Dakota State,0
7,Hawaii Manoa,1
8,California,0
9,Miami,1
10,Buffalo,0
11,Iowa,1
12,Temple,0
13,Villanova,1
14,UNC Asheville,0
15,St. Joseph's,1
16,Cincinnati,0
17,Yale,1
18,Baylor,0
19,Duke,1
20,North Carolina at Wilmington,0
21,Northern Iowa,1
22,Texas,0
23,Texas A&M,1
24,Wisconsin Green Bay,0
25,Virginia Commonwealth,1
26,Oregon State,0
27,Oklahoma,1
28,California State Bakersfield,0
29,Providence College,1
30,Southern California,0
31,Indiana Bloomington,1
32,Tennessee Chattanooga,0
33,Kentucky,1
34,Stony Brook,0
35,Stephen F. Austin State,1
36,West Virginia,0
37,Wisconsin Madison,1
38,Pittsburgh,0
39,Xavier,1
40,Weber State,0
41,Virginia,1
42,Hampton,0
43,Butler,1
44,Texas Tech,0
45,Arkansas Little Rock,1
46,Purdue,0
47,Iowa State,1
48,Iona College,0
49,Gonzaga,1
50,Seton Hall,0
51,Utah,1
52,Fresno State,0
53,Syracuse,1
54,Dayton,0
55,Middle Tennessee State,1
56,Michigan State,0
