participant,block,trial,stimulus,trialType,decision,truth
1,1,1,1,1,0,0
1,1,2,2,1,0,0
1,1,3,3,1,0,0
1,1,4,2,3,1,1
1,1,5,4,1,0,0
1,1,6,5,1,0,0
1,1,7,3,1,0,0
1,1,8,6,1,0,0
1,1,9,4,1,1,0
1,1,10,6,3,0,1
1,2,1,1,1,0,0
1,2,2,2,1,0,0
1,2,3,3,1,0,0
1,2,4,2,3,1,1
1,2,5,1,1,0,0
1,2,6,3,4,0,0
1,2,7,4,1,0,0
1,2,8,5,1,0,0
1,2,9,4,3,1,1
1,2,10,6,1,0,0
1,3,1,1,1,0,0
1,3,2,2,1,0,0
1,3,3,1,3,1,1
1,3,4,3,1,0,0
1,3,5,2,4,1,0
1,3,6,3,3,0,1
1,3,7,4,1,0,0
1,3,8,4,2,0,0
1,3,9,5,1,0,0
1,3,10,6,1,0,0
1,4,1,1,1,0,0
1,4,2,1,2,0,0
1,4,3,2,1,0,0
1,4,4,3,1,0,0
1,4,5,2,3,1,1
1,4,6,3,3,1,1
1,4,7,4,1,0,0
1,4,8,5,1,0,0
1,4,9,5,2,0,0
1,4,10,6,1,0,0
1,5,1,1,1,1,0
1,5,2,2,1,0,0
1,5,3,3,1,0,0
1,5,4,1,4,1,0
1,5,5,3,3,1,1
1,5,6,4,1,0,0
1,5,7,5,1,0,0
1,5,8,4,3,1,1
1,5,9,6,1,0,0
1,5,10,5,4,0,0
1,6,1,1,1,0,0
1,6,2,2,1,0,0
1,6,3,2,2,0,0
1,6,4,3,1,0,0
1,6,5,3,2,0,0
1,6,6,4,1,0,0
1,6,7,5,1,0,0
1,6,8,6,1,0,0
1,6,9,5,3,1,1
1,6,10,6,3,0,1
1,7,1,1,1,0,0
1,7,2,2,1,0,0
1,7,3,1,3,1,1
1,7,4,2,3,0,1
1,7,5,3,1,0,0
1,7,6,3,2,1,0
1,7,7,4,1,0,0
1,7,8,5,1,1,0
1,7,9,6,1,0,0
1,7,10,6,2,0,0
1,8,1,1,1,0,0
1,8,2,2,1,0,0
1,8,3,2,2,0,0
1,8,4,3,1,0,0
1,8,5,4,1,0,0
1,8,6,3,3,1,1
1,8,7,4,3,1,1
1,8,8,5,1,0,0
1,8,9,5,2,0,0
1,8,10,6,1,0,0
2,1,1,1,1,0,0
2,1,2,2,1,0,0
2,1,3,3,1,0,0
2,1,4,2,3,0,1
2,1,5,4,1,0,0
2,1,6,5,1,0,0
2,1,7,3,1,1,0
2,1,8,6,1,0,0
2,1,9,4,1,1,0
2,1,10,6,3,0,1
2,2,1,1,1,0,0
2,2,2,2,1,0,0
2,2,3,3,1,0,0
2,2,4,2,3,1,1
2,2,5,1,1,1,0
2,2,7,4,1,0,0
2,2,8,5,1,0,0
2,2,9,4,3,1,1
2,2,10,6,1,0,0
2,3,1,1,1,0,0
2,3,2,2,1,0,0
2,3,3,1,3,1,1
2,3,4,3,1,0,0
2,3,5,2,4,0,0
2,3,6,3,3,1,1
2,3,7,4,1,0,0
2,3,8,4,2,0,0
2,3,9,5,1,0,0
2,3,10,6,1,0,0
2,4,1,1,1,0,0
2,4,2,1,2,0,0
2,4,3,2,1,0,0
2,4,4,3,1,0,0
2,4,5,2,3,1,1
2,4,6,3,3,0,1
2,4,7,4,1,0,0
2,4,8,5,1,0,0
2,4,9,5,2,0,0
2,4,10,6,1,0,0
2,5,1,1,1,0,0
2,5,2,2,1,0,0
2,5,3,3,1,0,0
2,5,4,1,4,1,0
2,5,5,3,3,0,1
2,5,6,4,1,0,0
2,5,7,5,1,0,0
2,5,8,4,3,1,1
2,5,9,6,1,0,0
2,5,10,5,4,0,0
2,6,1,1,1,0,0
2,6,2,2,1,0,0
2,6,3,2,2,0,0
2,6,4,3,1,0,0
2,6,5,3,2,0,0
2,6,6,4,1,0,0
2,6,7,5,1,0,0
2,6,8,6,1,0,0
2,6,9,5,3,1,1
2,6,10,6,3,0,1
2,7,1,1,1,0,0
2,7,2,2,1,0,0
2,7,3,1,3,1,1
2,7,4,2,3,1,1
2,7,5,3,1,0,0
2,7,6,3,2,0,0
2,7,7,4,1,0,0
2,7,9,6,1,0,0
2,7,10,6,2,0,0
2,8,1,1,1,0,0
2,8,2,2,1,0,0
2,8,3,2,2,0,0
2,8,4,3,1,0,0
2,8,5,4,1,0,0
2,8,6,3,3,1,1
2,8,7,4,3,0,1
2,8,8,5,1,0,0
2,8,9,5,2,0,0
2,8,10,6,1,0,0
3,1,1,1,1,0,0
3,1,2,2,1,0,0
3,1,3,3,1,1,0
3,1,4,2,3,1,1
3,1,5,4,1,0,0
3,1,6,5,1,0,0
3,1,7,3,1,0,0
3,1,8,6,1,0,0
3,1,9,4,1,1,0
3,1,10,6,3,1,1
3,2,1,1,1,0,0
3,2,2,2,1,0,0
3,2,3,3,1,0,0
3,2,4,2,3,1,1
3,2,5,1,1,0,0
3,2,6,3,4,1,0
3,2,7,4,1,0,0
3,2,8,5,1,1,0
3,2,9,4,3,1,1
3,2,10,6,1,0,0
3,3,1,1,1,0,0
3,3,2,2,1,0,0
3,3,3,1,3,1,1
3,3,4,3,1,0,0
3,3,5,2,4,0,0
3,3,6,3,3,1,1
3,3,7,4,1,0,0
3,3,8,4,2,0,0
3,3,9,5,1,0,0
3,3,10,6,1,0,0
3,4,2,1,2,0,0
3,4,3,2,1,0,0
3,4,4,3,1,0,0
