participant,nBlocks,pennMatrices,listSort,cardSort
1,8,20.0,112.89,119.14
2,8,17.0,108.06,123.75
3,8,7.0,108.06,111.14
4,8,23.0,117.39,129.84
5,8,11.0,93.9,105.19
6,8,14.0,130.38,119.76
7,8,15.0,117.39,99.76
8,8,19.0,112.89,116.89
9,8,21.0,117.39,102.25
10,8,20.0,100.43,119.59
11,8,21.0,121.89,112.47
12,8,20.0,121.89,102.83
13,8,18.0,112.89,102.84
14,8,18.0,117.39,124.08
15,8,22.0,117.39,116.16
16,8,17.0,117.39,117.1
17,8,19.0,126.18,108.06
18,8,21.0,126.18,107.69
19,8,15.0,130.38,101.41
20,8,17.0,112.89,107.52
21,8,8.0,96.99,103.94
22,8,16.0,117.39,107.93
23,8,10.0,96.99,110.61
24,8,23.0,108.06,119.59
25,8,15.0,112.89,115.46
26,8,21.0,112.89,101.87
27,8,22.0,126.18,109.62
28,8,22.0,121.89,138.6
29,8,22.0,121.89,143.94
30,8,22.0,117.39,109.81
31,8,22.0,108.06,111.97
32,8,24.0,104.06,128.03
33,8,23.0,133.93,124.39
34,8,22.0,130.38,114.82
35,8,10.0,108.06,103.3
36,8,19.0,112.89,108.78
37,8,23.0,130.38,115.07
38,8,24.0,137.98,114.79
39,8,10.0,93.9,113.99
40,8,21.0,117.39,122.44
41,8,16.0,117.39,121.28
42,8,22.0,144.5,109.98
43,8,13.0,108.06,119.66
44,8,18.0,100.43,93.21
45,8,20.0,100.43,102.62
46,8,22.0,133.93,110.02
47,8,19.0,96.99,118.5
48,8,,112.89,99.49
49,8,18.0,108.06,111.82
50,8,16.0,121.89,125.37
51,8,17.0,130.38,110.78
52,8,20.0,112.89,124.54
53,8,19.0,121.89,115.53
54,8,17.0,108.06,117.23
55,8,13.0,104.06,136.1
56,8,17.0,108.06,117.26
57,8,22.0,104.06,110.53
58,8,21.0,104.06,103.46
59,8,18.0,108.06,112.42
60,8,11.0,100.43,100.45
61,8,20.0,104.06,108.1
62,8,17.0,130.38,111.59
63,8,17.0,130.38,121.37
64,8,20.0,117.39,104.6
65,8,18.0,117.39,114.61
66,8,15.0,112.89,109.35
67,8,21.0,121.89,99.11
68,8,15.0,133.93,122.39
69,8,20.0,104.06,106.33
70,8,21.0,112.89,119.5
71,8,16.0,112.89,117.98
72,8,13.0,117.39,107.97
73,8,15.0,104.06,110.9
74,8,22.0,126.18,112.93
75,8,4.0,91.07,122.29
76,8,15.0,104.06,107.52
77,8,18.0,121.89,125.28
78,8,14.0,100.43,112.78
79,8,10.0,93.9,128.04
80,8,9.0,104.06,95.79
81,8,21.0,112.89,114.64
82,8,14.0,100.43,111.2
83,8,13.0,108.06,105.89
84,8,19.0,126.18,129.19
85,8,23.0,126.18,119.18
86,8,24.0,117.39,119.93
87,8,12.0,96.99,99.85
88,8,,108.06,108.29
89,8,13.0,108.06,101.68
90,8,19.0,100.43,108.67
91,8,16.0,91.07,123.11
92,8,23.0,130.38,112.58
93,8,8.0,104.06,133.28
94,8,10.0,112.89,112.99
95,8,17.0,112.89,129.85
96,8,19.0,104.06,115.43
97,8,20.0,144.5,113.06
98,8,17.0,112.89,104.3
99,8,22.0,100.43,100.13
100,8,12.0,108.06,107.0
101,8,24.0,117.39,132.52
102,8,14.0,88.68,111.96
103,8,22.0,121.89,114.39
104,8,12.0,100.43,98.53
105,8,21.0,108.06,118.0
106,8,20.0,117.39,125.11
107,8,6.0,117.39,85.01
108,8,20.0,112.89,104.06
109,8,11.0,104.06,108.85
110,8,7.0,108.06,111.55
111,8,17.0,100.43,118.23
112,8,21.0,108.06,112.12
113,8,18.0,117.39,103.09
114,8,21.0,112.89,130.17
115,8,16.0,108.06,110.18
116,8,19.0,104.06,106.33
117,8,8.0,93.9,123.59
118,8,21.0,100.43,115.19
119,8,15.0,104.06,85.37
120,8,7.0,100.43,113.3
121,8,8.0,100.43,100.91
122,8,16.0,112.89,138.91
123,8,18.0,121.89,114.32
124,8,18.0,93.9,110.66
125,8,13.0,144.5,118.76
126,8,10.0,104.06,115.6
127,8,23.0,133.93,104.48
128,8,15.0,112.89,95.05
129,8,8.0,91.07,115.16
130,8,13.0,112.89,125.65
131,8,7.0,108.06,108.05
132,8,21.0,88.68,105.14
133,8,21.0,100.43,105.68
134,8,23.0,108.06,120.38
135,8,21.0,137.98,117.39
136,4,11.0,93.9,108.95
137,8,21.0,100.43,118.32
138,8,19.0,117.39,119.06
139,8,21.0,117.39,110.69
140,8,14.0,108.06,114.71
141,8,20.0,108.06,107.62
142,8,14.0,112.89,107.36
143,8,14.0,112.89,123.05
144,8,24.0,117.39,103.92
145,8,16.0,96.99,114.69
146,8,8.0,121.89,127.86
147,8,20.0,108.06,99.11
148,8,16.0,96.99,101.1
149,8,20.0,112.89,108.83
150,8,22.0,108.06,131.62
151,8,14.0,108.06,114.89
152,8,20.0,108.06,114.75
153,8,9.0,96.99,114.64
154,8,22.0,126.18,119.16
155,8,20.0,112.89,109.62
156,8,9.0,100.43,122.38
157,8,22.0,126.18,130.39
158,8,11.0,93.9,119.87
159,8,7.0,121.89,114.31
160,8,19.0,126.18,118.13
161,8,21.0,112.89,118.01
162,8,23.0,137.98,118.59
163,8,22.0,108.06,115.53
164,8,8.0,100.43,104.18
165,8,18.0,100.43,104.42
166,8,22.0,130.38,112.99
167,8,13.0,84.63,112.92
168,8,20.0,108.06,110.9
169,8,19.0,93.9,105.29
170,8,24.0,133.93,112.99
171,8,20.0,93.9,110.25
172,8,12.0,100.43,115.0
173,8,18.0,104.06,143.94
174,8,23.0,104.06,117.29
175,8,17.0,104.06,103.68
176,8,21.0,108.06,118.91
177,8,16.0,108.06,125.17
178,8,9.0,126.18,122.5
179,8,13.0,112.89,118.62
180,8,21.0,100.43,119.59
181,8,19.0,100.43,143.94
182,8,19.0,117.39,116.08
183,8,20.0,96.99,108.57
184,8,15.0,112.89,116.08
185,8,15.0,100.43,125.81
186,8,20.0,112.89,106.98
187,8,9.0,117.39,123.4
188,8,19.0,130.38,114.68
189,8,24.0,112.89,118.74
190,8,,108.06,110.61
191,8,15.0,108.06,98.18
192,8,13.0,112.89,107.52
193,8,6.0,104.06,94.99
194,8,18.0,100.43,110.65
195,8,10.0,100.43,110.53
196,8,22.0,112.89,130.78
197,8,10.0,130.38,111.03
198,8,16.0,104.06,99.42
199,8,13.0,108.06,122.78
200,8,19.0,104.06,102.95
201,8,21.0,104.06,126.05
202,8,23.0,108.06,115.77
203,8,8.0,108.06,101.18
204,8,18.0,112.89,
205,8,14.0,108.06,106.98
206,8,14.0,117.39,120.35
207,8,11.0,93.9,94.79
208,8,17.0,130.38,120.82
209,8,21.0,133.93,123.13
210,8,10.0,88.68,105.84
211,8,6.0,93.9,88.15
212,8,17.0,117.39,121.95
213,8,22.0,96.99,112.65
214,8,19.0,112.89,104.84
215,8,21.0,126.18,108.42
216,8,13.0,108.06,112.84
217,8,7.0,93.9,92.74
218,8,9.0,88.68,108.63
219,8,19.0,130.38,114.11
220,8,21.0,126.18,116.47
221,8,21.0,104.06,121.8
222,8,23.0,104.06,103.17
223,8,19.0,100.43,118.18
224,8,,96.99,100.71
225,8,20.0,126.18,127.37
226,8,15.0,126.18,104.92
227,8,19.0,117.39,134.24
228,8,8.0,93.9,111.43
229,8,9.0,100.43,113.22
230,8,21.0,117.39,111.28
231,8,6.0,100.43,116.47
232,8,18.0,100.43,121.88
233,8,20.0,108.06,113.81
234,8,22.0,104.06,119.27
235,8,16.0,108.06,114.52
236,8,17.0,112.89,115.42
237,8,18.0,126.18,108.89
238,8,22.0,112.89,128.57
239,8,7.0,96.99,118.0
240,8,22.0,108.06,102.55
241,8,22.0,108.06,136.1
