participant,trial,stimulus,itemType,lureBin,lure,truth,truthLabel,decision,decisionLabel,correct,studyPosition,gap
1,1,246,lure,3,1,2,new,,,,0,129
1,2,334,foil,2,0,2,new,2,new,1,0,130
1,3,234,target,5,0,1,old,1,old,1,42,89
1,4,284,lure,4,1,2,new,2,new,1,0,132
1,5,217,target,5,0,1,old,1,old,1,23,110
1,6,240,target,2,0,1,old,1,old,1,89,45
1,7,311,foil,5,0,2,new,2,new,1,0,135
1,8,263,target,1,0,1,old,1,old,1,61,75
1,9,362,foil,5,0,2,new,2,new,1,0,137
1,10,312,lure,1,1,2,new,1,old,0,0,138
1,11,224,foil,5,0,2,new,2,new,1,0,139
1,12,227,lure,2,1,2,new,1,old,0,0,140
1,13,243,foil,2,0,2,new,2,new,1,0,141
1,14,199,foil,3,0,2,new,2,new,1,0,142
1,15,352,target,1,0,1,old,1,old,1,38,105
1,16,305,target,1,0,1,old,2,new,0,43,101
1,17,369,lure,2,1,2,new,1,old,0,0,145
1,18,290,target,4,0,1,old,1,old,1,29,117
1,19,384,target,2,0,1,old,1,old,1,65,82
1,20,197,lure,1,1,2,new,1,old,0,0,148
1,21,201,foil,4,0,2,new,2,new,1,0,149
1,22,383,target,5,0,1,old,1,old,1,33,117
1,23,233,target,2,0,1,old,2,new,0,10,141
1,24,238,target,4,0,1,old,1,old,1,86,66
1,25,202,foil,1,0,2,new,2,new,1,0,153
1,26,203,target,2,0,1,old,1,old,1,53,101
1,27,306,lure,4,1,2,new,2,new,1,0,155
1,28,219,foil,5,0,2,new,2,new,1,0,156
1,29,337,target,4,0,1,old,,,,119,38
1,30,247,foil,2,0,2,new,2,new,1,0,158
1,31,270,foil,3,0,2,new,2,new,1,0,159
1,32,370,lure,4,1,2,new,2,new,1,0,160
1,33,335,lure,1,1,2,new,2,new,1,0,161
1,34,255,foil,4,0,2,new,2,new,1,0,162
1,35,323,lure,5,1,2,new,1,old,0,0,163
1,36,273,lure,1,1,2,new,1,old,0,0,164
1,37,220,lure,2,1,2,new,1,old,0,0,165
1,38,282,target,4,0,1,old,1,old,1,15,151
1,39,361,lure,4,1,2,new,1,old,0,0,167
1,40,321,lure,2,1,2,new,2,new,1,0,168
1,41,292,foil,4,0,2,new,2,new,1,0,169
1,42,215,target,5,0,1,old,1,old,1,117,53
1,43,228,foil,1,0,2,new,2,new,1,0,171
1,44,251,target,5,0,1,old,1,old,1,68,104
1,45,239,target,2,0,1,old,1,old,1,116,57
1,46,349,target,5,0,1,old,1,old,1,37,137
1,47,207,lure,5,1,2,new,1,old,0,0,175
1,48,258,target,1,0,1,old,1,old,1,25,151
1,49,339,lure,5,1,2,new,2,new,1,0,177
1,50,285,lure,1,1,2,new,2,new,1,0,178
1,51,245,lure,4,1,2,new,2,new,1,0,179
1,52,353,lure,5,1,2,new,2,new,1,0,180
1,53,221,target,2,0,1,old,1,old,1,56,125
1,54,380,target,4,0,1,old,1,old,1,74,108
1,55,377,foil,4,0,2,new,2,new,1,0,183
1,56,372,foil,4,0,2,new,2,new,1,0,184
1,57,294,foil,5,0,2,new,2,new,1,0,185
1,58,303,target,1,0,1,old,1,old,1,34,152
1,59,322,foil,2,0,2,new,2,new,1,0,187
1,60,365,foil,4,0,2,new,2,new,1,0,188
1,61,319,target,4,0,1,old,2,new,0,98,91
1,62,357,foil,3,0,2,new,2,new,1,0,190
1,63,347,foil,3,0,2,new,2,new,1,0,191
1,64,293,lure,5,1,2,new,2,new,1,0,192
1,65,200,foil,4,0,2,new,2,new,1,0,193
1,66,360,foil,1,0,2,new,2,new,1,0,194
1,67,315,lure,5,1,2,new,2,new,1,0,195
1,68,300,foil,2,0,2,new,2,new,1,0,196
1,69,307,lure,2,1,2,new,1,old,0,0,197
1,70,194,foil,1,0,2,new,2,new,1,0,198
1,71,326,lure,3,1,2,new,1,old,0,0,199
1,72,244,lure,4,1,2,new,2,new,1,0,200
1,73,310,foil,5,0,2,new,2,new,1,0,201
1,74,235,lure,5,1,2,new,2,new,1,0,202
1,75,288,foil,2,0,2,new,2,new,1,0,203
1,76,231,lure,4,1,2,new,2,new,1,0,204
