participant,trial,stimulus,itemType,lureBin,lure,truth,truthLabel,decision,decisionLabel,correct,studyPosition,gap
1,1,28,lure,3,1,3,similar,,,,118,11
1,2,151,lure,2,1,3,similar,3,similar,1,37,93
1,3,2,target,5,0,1,old,,,,126,5
1,4,44,foil,5,0,2,new,2,new,1,0,132
1,5,174,lure,1,1,3,similar,3,similar,1,62,71
1,6,207,target,5,0,1,old,1,old,1,58,76
1,7,94,lure,3,1,3,similar,3,similar,1,13,122
1,8,82,foil,3,0,2,new,3,similar,0,0,136
1,9,89,target,5,0,1,old,1,old,1,119,18
1,10,152,foil,4,0,2,new,3,similar,0,0,138
1,11,107,foil,1,0,2,new,,,,0,139
1,12,153,target,5,0,1,old,2,new,0,47,93
1,13,18,target,1,0,1,old,1,old,1,120,21
1,14,49,lure,5,1,3,similar,3,similar,1,59,83
1,15,99,foil,4,0,2,new,2,new,1,0,143
1,16,185,target,4,0,1,old,1,old,1,80,64
1,17,219,target,2,0,1,old,1,old,1,87,58
1,18,56,foil,3,0,2,new,2,new,1,0,146
1,19,25,foil,3,0,2,new,2,new,1,0,147
1,20,53,foil,3,0,2,new,2,new,1,0,148
1,21,42,lure,3,1,3,similar,2,new,0,105,44
1,22,238,foil,5,0,2,new,2,new,1,0,150
1,23,13,lure,1,1,3,similar,,,,71,80
1,24,106,lure,3,1,3,similar,3,similar,1,68,84
1,25,88,lure,4,1,3,similar,3,similar,1,124,29
1,26,77,target,5,0,1,old,1,old,1,84,70
1,27,163,lure,5,1,3,similar,1,old,0,122,33
1,28,3,target,4,0,1,old,,,,17,139
1,29,239,target,1,0,1,old,,,,93,64
1,30,85,target,3,0,1,old,,,,2,156
1,31,68,lure,5,1,3,similar,,,,98,61
1,32,179,lure,3,1,3,similar,3,similar,1,97,63
1,33,184,foil,1,0,2,new,3,similar,0,0,161
1,34,172,foil,1,0,2,new,3,similar,0,0,162
1,35,194,foil,1,0,2,new,3,similar,0,0,163
1,36,79,lure,3,1,3,similar,3,similar,1,30,134
1,37,10,lure,2,1,3,similar,3,similar,1,35,130
1,38,236,foil,5,0,2,new,3,similar,0,0,166
1,39,63,lure,2,1,3,similar,,,,76,91
1,40,231,lure,4,1,3,similar,,,,116,52
1,41,224,target,3,0,1,old,1,old,1,1,168
1,42,109,foil,5,0,2,new,2,new,1,0,170
1,43,120,foil,1,0,2,new,2,new,1,0,171
1,44,226,foil,5,0,2,new,2,new,1,0,172
1,45,197,lure,4,1,3,similar,2,new,0,104,69
1,46,48,target,2,0,1,old,1,old,1,127,47
1,47,36,foil,4,0,2,new,2,new,1,0,175
1,48,202,target,3,0,1,old,3,similar,0,107,69
1,49,181,lure,2,1,3,similar,1,old,0,6,171
1,50,65,target,1,0,1,old,1,old,1,36,142
1,51,157,target,2,0,1,old,1,old,1,48,131
1,52,232,foil,2,0,2,new,2,new,1,0,180
1,53,22,target,5,0,1,old,1,old,1,10,171
1,54,17,target,1,0,1,old,3,similar,0,63,119
1,55,19,foil,2,0,2,new,,,,0,183
1,56,124,target,3,0,1,old,1,old,1,78,106
1,57,198,foil,4,0,2,new,3,similar,0,0,185
1,58,58,lure,1,1,3,similar,1,old,0,81,105
1,59,4,foil,3,0,2,new,1,old,0,0,187
1,60,192,target,4,0,1,old,1,old,1,5,183
1,61,43,foil,4,0,2,new,1,old,0,0,189
1,62,169,lure,5,1,3,similar,2,new,0,82,108
1,63,200,target,4,0,1,old,1,old,1,108,83
1,64,103,foil,2,0,2,new,2,new,1,0,192
1,65,209,foil,5,0,2,new,,,,0,193
1,66,206,lure,1,1,3,similar,2,new,0,101,93
1,67,235,lure,5,1,3,similar,3,similar,1,64,131
1,68,95,target,1,0,1,old,1,old,1,110,86
1,69,6,target,4,0,1,old,1,old,1,61,136
1,70,125,target,5,0,1,old,1,old,1,73,125
1,71,240,target,2,0,1,old,1,old,1,51,148
1,72,223,lure,5,1,3,similar,3,similar,1,21,179
1,73,144,foil,4,0,2,new,2,new,1,0,201
1,74,81,target,2,0,1,old,1,old,1,49,153
1,75,80,foil,2,0,2,new,2,new,1,0,203
1,76,15,lure,1,1,3,similar,3,similar,1,19,185
1,77,162,lure,2,1,3,similar,1,old,0,65,140
1,78,128,lure,4,1,3,similar,3,similar,1,16,190
1,79,229,foil,2,0,2,new,2,new,1,0,207
1,80,227,target,1,0,1,old,1,old,1,125,83
1,81,11,target,3,0,1,old,1,old,1,24,185
1,82,141,lure,1,1,3,similar,2,new,0,102,108
1,83,98,foil,2,0,2,new,2,new,1,0,211
1,84,171,target,5,0,1,old,1,old,1,96,116
1,85,27,lure,4,1,3,similar,2,new,0,50,163
1,86,146,foil,3,0,2,new,2,new,1,0,214
1,87,212,foil,5,0,2,new,2,new,1,0,215
1,88,51,target,1,0,1,old,1,old,1,8,208
1,89,1,lure,4,1,3,similar,1,old,0,121,96
1,90,203,target,1,0,1,old,,,,113,105
1,91,69,foil,5,0,2,new,,,,0,219
1,92,23,foil,1,0,2,new,1,old,0,0,220
1,93,93,lure,5,1,3,similar,2,new,0,34,187
1,94,84,lure,4,1,3,similar,1,old,0,70,152
1,95,46,lure,1,1,3,similar,3,similar,1,88,135
1,96,145,lure,1,1,3,similar,3,similar,1,128,96
1,97,21,lure,3,1,3,similar,3,similar,1,18,207
1,98,24,foil,3,0,2,new,3,similar,0,0,226
1,99,31,lure,5,1,3,similar,3,similar,1,29,198
1,100,193,target,5,0,1,old,1,old,1,56,172
1,101,180,lure,4,1,3,similar,3,similar,1,43,186
1,102,135,lure,2,1,3,similar,,,,23,207
1,103,116,foil,4,0,2,new,3,similar,0,0,231
1,104,33,target,4,0,1,old,3,similar,0,91,141
1,105,164,foil,2,0,2,new,3,similar,0,0,233
1,106,188,foil,4,0,2,new,3,similar,0,0,234
1,107,147,foil,4,0,2,new,3,similar,0,0,235
1,108,67,target,1,0,1,old,1,old,1,115,121
1,109,175,foil,3,0,2,new,3,similar,0,0,237
1,110,215,lure,1,1,3,similar,2,new,0,100,138
1,111,199,target,3,0,1,old,2,new,0,99,140
1,112,211,lure,3,1,3,similar,2,new,0,20,220
1,113,131,target,2,0,1,old,,,,9,232
1,114,213,target,1,0,1,old,,,,69,173
1,115,159,lure,2,1,3,similar,,,,38,205
1,116,134,lure,1,1,3,similar,,,,52,192
1,117,78,lure,3,1,3,similar,2,new,0,27,218
1,118,187,foil,3,0,2,new,2,new,1,0,246
1,119,101,foil,3,0,2,new,,,,0,247
1,120,113,foil,4,0,2,new,2,new,1,0,248
1,121,111,target,5,0,1,old,,,,4,245
1,122,178,foil,4,0,2,new,,,,0,250
1,123,183,foil,2,0,2,new,,,,0,251
