listLength,presentationRateSec,serialPosition,recallCount
10,0.2,1,994
10,0.2,2,806
10,0.2,3,691
10,0.2,4,634
10,0.2,5,634
10,0.2,6,835
10,0.2,7,965
10,0.2,8,1008
10,0.2,9,1181
10,0.2,10,1382
15,0.2,1,794
15,0.2,2,640
15,0.2,3,576
15,0.2,4,512
15,0.2,5,486
15,0.2,6,486
15,0.2,7,512
15,0.2,8,512
15,0.2,9,538
15,0.2,10,640
15,0.2,11,742
15,0.2,12,794
15,0.2,13,1024
15,0.2,14,1126
15,0.2,15,1254
20,0.2,1,836
20,0.2,2,623
20,0.2,3,562
20,0.2,4,517
20,0.2,5,441
20,0.2,6,471
20,0.2,7,441
20,0.2,8,395
20,0.2,9,350
20,0.2,10,441
20,0.2,11,456
20,0.2,12,486
20,0.2,13,456
20,0.2,14,593
20,0.2,15,608
20,0.2,16,684
20,0.2,17,897
20,0.2,18,1110
20,0.2,19,1353
20,0.2,20,1459
20,0.1,1,699
20,0.1,2,410
20,0.1,3,304
20,0.1,4,243
20,0.1,5,258
20,0.1,6,243
20,0.1,7,228
20,0.1,8,213
20,0.1,9,304
20,0.1,10,350
20,0.1,11,395
20,0.1,12,319
20,0.1,13,365
20,0.1,14,410
20,0.1,15,456
20,0.1,16,608
20,0.1,17,958
20,0.1,18,1170
20,0.1,19,1277
20,0.1,20,1474
30,0.1,1,576
30,0.1,2,360
30,0.1,3,240
30,0.1,4,228
30,0.1,5,240
30,0.1,6,240
30,0.1,7,228
30,0.1,8,216
30,0.1,9,240
30,0.1,10,240
30,0.1,11,240
30,0.1,12,240
30,0.1,13,228
30,0.1,14,240
30,0.1,15,216
30,0.1,16,204
30,0.1,17,240
30,0.1,18,228
30,0.1,19,240
30,0.1,20,240
30,0.1,21,264
30,0.1,22,252
30,0.1,23,288
30,0.1,24,324
30,0.1,25,444
30,0.1,26,480
30,0.1,27,660
30,0.1,28,912
30,0.1,29,1080
30,0.1,30,1188
40,0.1,1,384
40,0.1,2,256
40,0.1,3,154
40,0.1,4,154
40,0.1,5,141
40,0.1,6,128
40,0.1,7,154
40,0.1,8,154
40,0.1,9,154
40,0.1,10,128
40,0.1,11,179
40,0.1,12,141
40,0.1,13,128
40,0.1,14,141
40,0.1,15,154
40,0.1,16,179
40,0.1,17,154
40,0.1,18,141
40,0.1,19,179
40,0.1,20,128
40,0.1,21,154
40,0.1,22,128
40,0.1,23,154
40,0.1,24,192
40,0.1,25,179
40,0.1,26,166
40,0.1,27,154
40,0.1,28,218
40,0.1,29,218
40,0.1,30,218
40,0.1,31,256
40,0.1,32,256
40,0.1,33,230
40,0.1,34,307
40,0.1,35,384
40,0.1,36,512
40,0.1,37,691
40,0.1,38,922
40,0.1,39,1114
40,0.1,40,1254
